#options: 1080x1920 fps=120/1 timebase=1/120 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1254 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:31 out:32 type:b dur:8 cpbdur:8 q:44.43 aq:38.47 tex:3695 mv:7875 misc:3630 imb:213 pmb:675 smb:7272 d:- ref:0 ;
in:35 out:33 type:P dur:8 cpbdur:8 q:43.85 aq:36.39 tex:15527 mv:14019 misc:5622 imb:1823 pmb:600 smb:5737 d:- ref:0 w:7,125,1,3,7,15,8,0 ;
in:33 out:34 type:B dur:8 cpbdur:8 q:44.11 aq:38.26 tex:8843 mv:11674 misc:4739 imb:341 pmb:1089 smb:6730 d:- ref:0 ;
in:34 out:35 type:b dur:8 cpbdur:8 q:43.98 aq:38.66 tex:4208 mv:7533 misc:3539 imb:169 pmb:798 smb:7193 d:- ref:0 ;
in:37 out:36 type:P dur:8 cpbdur:8 q:43.66 aq:35.76 tex:17612 mv:14079 misc:5221 imb:1967 pmb:556 smb:5637 d:- ref:0 ;
in:36 out:37 type:b dur:8 cpbdur:8 q:43.75 aq:36.94 tex:4297 mv:8573 misc:3082 imb:534 pmb:590 smb:7036 d:- ref:0 ;
in:41 out:38 type:P dur:8 cpbdur:8 q:43.13 aq:35.28 tex:41414 mv:18964 misc:5190 imb:2357 pmb:883 smb:4920 d:- ref:0 w:7,127,-1,6,64,0,49,31 ;
in:39 out:39 type:B dur:8 cpbdur:8 q:43.39 aq:36.98 tex:6021 mv:10768 misc:4371 imb:300 pmb:1080 smb:6780 d:- ref:0 ;
in:38 out:40 type:b dur:8 cpbdur:8 q:43.53 aq:35.54 tex:3557 mv:7992 misc:3275 imb:296 pmb:694 smb:7170 d:- ref:0 ;
in:40 out:41 type:b dur:8 cpbdur:8 q:43.26 aq:36.65 tex:2055 mv:5400 misc:2825 imb:89 pmb:586 smb:7485 d:- ref:0 ;
in:44 out:42 type:P dur:8 cpbdur:8 q:42.91 aq:34.17 tex:21721 mv:14862 misc:5505 imb:1691 pmb:831 smb:5638 d:- ref:0 ;
in:42 out:43 type:B dur:8 cpbdur:8 q:43.06 aq:36.39 tex:2130 mv:6106 misc:2948 imb:121 pmb:623 smb:7416 d:- ref:0 ;
in:43 out:44 type:b dur:8 cpbdur:8 q:42.98 aq:37.00 tex:1706 mv:4790 misc:2416 imb:93 pmb:456 smb:7611 d:- ref:0 ;
in:46 out:45 type:P dur:8 cpbdur:8 q:42.64 aq:33.91 tex:17637 mv:12958 misc:5725 imb:1167 pmb:784 smb:6209 d:- ref:0 w:7,127,0,5,31,4,32,0 ;
in:45 out:46 type:b dur:8 cpbdur:8 q:42.77 aq:34.56 tex:2020 mv:5411 misc:2849 imb:100 pmb:576 smb:7484 d:- ref:0 ;
in:50 out:47 type:P dur:8 cpbdur:8 q:42.13 aq:33.76 tex:17572 mv:15771 misc:5609 imb:2533 pmb:554 smb:5073 d:- ref:0 ;
in:48 out:48 type:B dur:8 cpbdur:8 q:42.38 aq:33.74 tex:5850 mv:10997 misc:4361 imb:378 pmb:845 smb:6937 d:- ref:0 ;
in:47 out:49 type:b dur:8 cpbdur:8 q:42.51 aq:34.49 tex:2332 mv:5959 misc:2957 imb:98 pmb:629 smb:7433 d:- ref:0 ;
in:49 out:50 type:b dur:8 cpbdur:8 q:42.26 aq:33.71 tex:1886 mv:6028 misc:2678 imb:130 pmb:494 smb:7536 d:- ref:0 ;
in:54 out:51 type:P dur:8 cpbdur:8 q:41.55 aq:32.33 tex:34948 mv:22516 misc:5632 imb:3937 pmb:584 smb:3639 d:- ref:0 ;
in:52 out:52 type:B dur:8 cpbdur:8 q:41.84 aq:33.71 tex:6459 mv:12461 misc:4688 imb:441 pmb:926 smb:6793 d:- ref:0 ;
in:51 out:53 type:b dur:8 cpbdur:8 q:41.98 aq:34.77 tex:2861 mv:7976 misc:3387 imb:191 pmb:696 smb:7273 d:- ref:0 ;
in:53 out:54 type:b dur:8 cpbdur:8 q:41.69 aq:33.59 tex:2654 mv:7253 misc:3141 imb:175 pmb:592 smb:7393 d:- ref:0 ;
in:58 out:55 type:P dur:8 cpbdur:8 q:40.99 aq:32.80 tex:34014 mv:18159 misc:5827 imb:2387 pmb:836 smb:4937 d:- ref:0 ;
in:56 out:56 type:B dur:8 cpbdur:8 q:41.27 aq:32.46 tex:5681 mv:11703 misc:4584 imb:338 pmb:902 smb:6920 d:- ref:0 ;
in:55 out:57 type:b dur:8 cpbdur:8 q:41.41 aq:32.18 tex:2405 mv:7369 misc:3162 imb:154 pmb:620 smb:7386 d:- ref:0 ;
in:57 out:58 type:b dur:8 cpbdur:8 q:41.13 aq:32.17 tex:2062 mv:6279 misc:2963 imb:158 pmb:548 smb:7454 d:- ref:0 ;
in:60 out:59 type:P dur:8 cpbdur:8 q:40.52 aq:31.95 tex:15334 mv:13996 misc:5878 imb:1329 pmb:726 smb:6105 d:- ref:0 ;
in:59 out:60 type:b dur:8 cpbdur:8 q:40.75 aq:32.60 tex:2285 mv:6926 misc:3101 imb:147 pmb:578 smb:7435 d:- ref:0 ;
in:62 out:61 type:P dur:8 cpbdur:8 q:40.23 aq:31.55 tex:13259 mv:13399 misc:5686 imb:1797 pmb:590 smb:5773 d:- ref:0 ;
in:61 out:62 type:b dur:8 cpbdur:8 q:40.37 aq:32.30 tex:2144 mv:6718 misc:3226 imb:147 pmb:607 smb:7406 d:- ref:0 ;
in:65 out:63 type:P dur:8 cpbdur:8 q:39.94 aq:31.87 tex:13897 mv:13983 misc:5416 imb:2011 pmb:463 smb:5686 d:- ref:0 ;
in:63 out:64 type:B dur:8 cpbdur:8 q:40.13 aq:31.67 tex:2417 mv:7958 misc:3505 imb:169 pmb:624 smb:7367 d:- ref:0 ;
in:64 out:65 type:b dur:8 cpbdur:8 q:40.03 aq:33.27 tex:3063 mv:7754 misc:3343 imb:162 pmb:610 smb:7388 d:- ref:0 ;
in:66 out:66 type:I dur:8 cpbdur:8 q:39.39 aq:31.39 tex:51826 mv:25831 misc:279 imb:8160 pmb:0 smb:0 d:- ref:;
in:69 out:67 type:P dur:8 cpbdur:8 q:39.63 aq:32.00 tex:27926 mv:15342 misc:4476 imb:1500 pmb:721 smb:5939 d:- ref:0 ;
in:67 out:68 type:B dur:8 cpbdur:8 q:39.63 aq:33.13 tex:1960 mv:6421 misc:2779 imb:87 pmb:574 smb:7499 d:- ref:0 ;
in:68 out:69 type:b dur:8 cpbdur:8 q:39.63 aq:32.81 tex:1673 mv:5992 misc:2711 imb:108 pmb:498 smb:7554 d:- ref:0 ;
in:72 out:70 type:P dur:8 cpbdur:8 q:39.51 aq:30.79 tex:13520 mv:11441 misc:4871 imb:890 pmb:691 smb:6579 d:- ref:0 ;
in:70 out:71 type:B dur:8 cpbdur:8 q:39.59 aq:32.01 tex:3475 mv:7484 misc:3449 imb:160 pmb:666 smb:7334 d:- ref:0 ;
in:71 out:72 type:b dur:8 cpbdur:8 q:39.55 aq:32.12 tex:1765 mv:5813 misc:2734 imb:82 pmb:520 smb:7558 d:- ref:0 ;
in:76 out:73 type:P dur:8 cpbdur:8 q:39.24 aq:30.77 tex:14979 mv:12541 misc:4960 imb:1141 pmb:599 smb:6420 d:- ref:0 ;
in:74 out:74 type:B dur:8 cpbdur:8 q:39.38 aq:30.44 tex:5544 mv:10203 misc:4221 imb:280 pmb:835 smb:7045 d:- ref:0 ;
in:73 out:75 type:b dur:8 cpbdur:8 q:39.44 aq:32.53 tex:1928 mv:5776 misc:2680 imb:110 pmb:475 smb:7575 d:- ref:0 ;
in:75 out:76 type:b dur:8 cpbdur:8 q:39.31 aq:32.52 tex:1395 mv:5584 misc:2661 imb:70 pmb:482 smb:7608 d:- ref:0 ;
in:80 out:77 type:P dur:8 cpbdur:8 q:38.70 aq:30.50 tex:31728 mv:17618 misc:5934 imb:1526 pmb:887 smb:5747 d:- ref:0 ;
in:78 out:78 type:B dur:8 cpbdur:8 q:38.97 aq:29.78 tex:3921 mv:9092 misc:4155 imb:185 pmb:868 smb:7107 d:- ref:0 ;
in:77 out:79 type:b dur:8 cpbdur:8 q:39.11 aq:32.70 tex:1298 mv:5869 misc:2673 imb:61 pmb:564 smb:7535 d:- ref:0 ;
in:79 out:80 type:b dur:8 cpbdur:8 q:38.84 aq:31.03 tex:1595 mv:4803 misc:2938 imb:54 pmb:630 smb:7476 d:- ref:0 ;
in:84 out:81 type:P dur:8 cpbdur:8 q:38.34 aq:30.05 tex:23744 mv:16959 misc:5505 imb:1450 pmb:915 smb:5795 d:- ref:0 ;
in:82 out:82 type:B dur:8 cpbdur:8 q:38.52 aq:28.78 tex:2966 mv:7003 misc:3447 imb:129 pmb:628 smb:7403 d:- ref:0 ;
in:81 out:83 type:b dur:8 cpbdur:8 q:38.61 aq:31.66 tex:956 mv:2639 misc:1845 imb:27 pmb:318 smb:7815 d:- ref:0 ;
in:83 out:84 type:b dur:8 cpbdur:8 q:38.43 aq:27.26 tex:1457 mv:2777 misc:2054 imb:79 pmb:282 smb:7799 d:- ref:0 ;
in:88 out:85 type:P dur:8 cpbdur:8 q:38.01 aq:28.98 tex:28428 mv:22389 misc:5551 imb:2899 pmb:1026 smb:4235 d:- ref:0 ;
in:86 out:86 type:B dur:8 cpbdur:8 q:38.18 aq:28.19 tex:2497 mv:5081 misc:3158 imb:102 pmb:561 smb:7497 d:- ref:0 ;
in:85 out:87 type:b dur:8 cpbdur:8 q:38.26 aq:28.65 tex:1456 mv:2355 misc:2165 imb:55 pmb:317 smb:7788 d:- ref:0 ;
in:87 out:88 type:b dur:8 cpbdur:8 q:38.10 aq:27.26 tex:1357 mv:1539 misc:1600 imb:54 pmb:174 smb:7932 d:- ref:0 ;
in:92 out:89 type:P dur:8 cpbdur:8 q:37.46 aq:28.41 tex:28930 mv:19965 misc:6009 imb:1681 pmb:1033 smb:5446 d:- ref:0 ;
in:90 out:90 type:B dur:8 cpbdur:8 q:37.74 aq:27.62 tex:3202 mv:8397 misc:3777 imb:163 pmb:732 smb:7265 d:- ref:0 ;
in:89 out:91 type:b dur:8 cpbdur:8 q:37.88 aq:32.35 tex:1309 mv:4268 misc:2279 imb:33 pmb:431 smb:7696 d:- ref:0 ;
in:91 out:92 type:b dur:8 cpbdur:8 q:37.60 aq:27.40 tex:1745 mv:4010 misc:2413 imb:98 pmb:391 smb:7671 d:- ref:0 ;
in:96 out:93 type:P dur:8 cpbdur:8 q:37.07 aq:27.91 tex:45923 mv:22591 misc:5998 imb:2661 pmb:1259 smb:4240 d:- ref:0 ;
in:94 out:94 type:B dur:8 cpbdur:8 q:37.26 aq:26.94 tex:3069 mv:7340 misc:3719 imb:122 pmb:785 smb:7253 d:- ref:0 ;
in:93 out:95 type:b dur:8 cpbdur:8 q:37.36 aq:26.45 tex:1434 mv:4623 misc:2495 imb:57 pmb:462 smb:7641 d:- ref:0 ;
in:95 out:96 type:b dur:8 cpbdur:8 q:37.17 aq:26.35 tex:1642 mv:3632 misc:2486 imb:63 pmb:397 smb:7700 d:- ref:0 ;
in:100 out:97 type:P dur:8 cpbdur:8 q:36.73 aq:27.79 tex:14527 mv:11871 misc:5098 imb:666 pmb:872 smb:6622 d:- ref:0 ;
in:98 out:98 type:B dur:8 cpbdur:8 q:36.90 aq:25.25 tex:2195 mv:5662 misc:3263 imb:115 pmb:588 smb:7457 d:- ref:0 ;
in:97 out:99 type:b dur:8 cpbdur:8 q:36.98 aq:25.46 tex:852 mv:2782 misc:1966 imb:38 pmb:311 smb:7811 d:- ref:0 ;
in:99 out:100 type:b dur:8 cpbdur:8 q:36.81 aq:30.87 tex:689 mv:2166 misc:1825 imb:17 pmb:298 smb:7845 d:- ref:0 ;
in:104 out:101 type:P dur:8 cpbdur:8 q:36.35 aq:26.98 tex:37623 mv:19086 misc:5715 imb:1383 pmb:1169 smb:5608 d:- ref:0 ;
in:102 out:102 type:B dur:6 cpbdur:6 q:36.54 aq:26.81 tex:3412 mv:7588 misc:3408 imb:156 pmb:629 smb:7375 d:- ref:0 ;
in:101 out:103 type:b dur:8 cpbdur:8 q:36.63 aq:26.88 tex:1016 mv:3073 misc:1959 imb:38 pmb:326 smb:7796 d:- ref:0 ;
in:103 out:104 type:b dur:8 cpbdur:8 q:36.44 aq:25.94 tex:4830 mv:4018 misc:2624 imb:152 pmb:364 smb:7644 d:- ref:0 ;
in:108 out:105 type:P dur:8 cpbdur:8 q:36.07 aq:27.41 tex:50523 mv:17192 misc:5589 imb:821 pmb:1556 smb:5783 d:- ref:0 ;
in:106 out:106 type:B dur:8 cpbdur:8 q:36.21 aq:26.40 tex:3262 mv:8568 misc:3930 imb:134 pmb:787 smb:7239 d:- ref:0 ;
in:105 out:107 type:b dur:8 cpbdur:8 q:36.28 aq:24.46 tex:1498 mv:3466 misc:2284 imb:58 pmb:353 smb:7749 d:- ref:0 ;
in:107 out:108 type:b dur:8 cpbdur:8 q:36.14 aq:26.52 tex:1055 mv:3238 misc:2187 imb:35 pmb:372 smb:7753 d:- ref:0 ;
in:112 out:109 type:P dur:8 cpbdur:8 q:35.82 aq:27.45 tex:19829 mv:13678 misc:5309 imb:592 pmb:1140 smb:6428 d:- ref:0 ;
in:110 out:110 type:B dur:8 cpbdur:8 q:35.94 aq:27.13 tex:3795 mv:7278 misc:3471 imb:80 pmb:739 smb:7341 d:- ref:0 ;
in:109 out:111 type:b dur:8 cpbdur:8 q:36.01 aq:25.62 tex:1010 mv:3171 misc:2099 imb:21 pmb:397 smb:7742 d:- ref:0 ;
in:111 out:112 type:b dur:8 cpbdur:8 q:35.88 aq:26.46 tex:991 mv:3146 misc:2015 imb:25 pmb:360 smb:7775 d:- ref:0 ;
